algorithm	model_type	geneset_coverage	level_2	abs_top_z_score	dataset	z_dim	geneset_name
dae	real	0.11451942740286299	69	46.9427	gtex	16	gpxcell
ica	real	0.05930470347648262	106	37.0984	gtex	16	gpxcell
nmf	real	0.0408997955010225	177	33.5775	gtex	16	gpxcell
pca	real	0.05521472392638037	276	32.1206	gtex	16	gpxcell
vae	real	0.11247443762781185	332	36.494	gtex	16	gpxcell
dae	real	0.2740286298568507	431	38.9099	gtex	90	gpxcell
ica	real	0.3292433537832311	767	29.8849	gtex	90	gpxcell
nmf	real	0.19427402862985685	1080	55.2433	gtex	90	gpxcell
pca	real	0.24539877300613497	1464	38.3679	gtex	90	gpxcell
vae	real	0.30265848670756645	1876	38.2185	gtex	90	gpxcell
dae	real	0.028629856850715747	26	36.019	gtex	6	gpxcell
ica	real	0.03067484662576687	51	36.6426	gtex	6	gpxcell
nmf	real	0.018404907975460124	73	25.5337	gtex	6	gpxcell
pca	real	0.024539877300613498	97	26.2351	gtex	6	gpxcell
vae	real	0.05112474437627812	129	44.675	gtex	6	gpxcell
dae	real	0.05112474437627812	20	30.191	gtex	9	gpxcell
ica	real	0.03680981595092025	73	50.0116	gtex	9	gpxcell
nmf	real	0.028629856850715747	108	27.9346	gtex	9	gpxcell
pca	real	0.034764826175869123	174	32.1224	gtex	9	gpxcell
vae	real	0.07770961145194274	224	38.7039	gtex	9	gpxcell
dae	real	0.3885480572597137	248	49.4473	gtex	150	gpxcell
ica	real	0.50920245398773	1094	24.0395	gtex	150	gpxcell
nmf	real	0.28629856850715746	1913	74.5482	gtex	150	gpxcell
pca	real	0.3721881390593047	2360	38.3679	gtex	150	gpxcell
vae	real	0.40286298568507156	3747	49.7435	gtex	150	gpxcell
dae	real	0.05930470347648262	55	41.533	gtex	12	gpxcell
ica	real	0.065439672801636	118	55.1516	gtex	12	gpxcell
nmf	real	0.034764826175869123	137	30.9579	gtex	12	gpxcell
pca	real	0.044989775051124746	219	32.1207	gtex	12	gpxcell
vae	real	0.07975460122699386	262	40.3001	gtex	12	gpxcell
dae	real	0.2065439672801636	166	35.1495	gtex	45	gpxcell
ica	real	0.19427402862985685	232	41.5334	gtex	45	gpxcell
nmf	real	0.09815950920245399	630	52.34	gtex	45	gpxcell
pca	real	0.10633946830265849	785	38.3679	gtex	45	gpxcell
vae	real	0.17177914110429449	1033	38.959	gtex	45	gpxcell
dae	real	0.1165644171779141	53	32.3784	gtex	20	gpxcell
ica	real	0.07975460122699386	117	24.9598	gtex	20	gpxcell
nmf	real	0.05112474437627812	261	30.4204	gtex	20	gpxcell
pca	real	0.065439672801636	335	32.1206	gtex	20	gpxcell
vae	real	0.12065439672801637	415	30.3766	gtex	20	gpxcell
dae	real	0.3456032719836401	614	48.3899	gtex	125	gpxcell
ica	real	0.4867075664621677	860	30.5836	gtex	125	gpxcell
nmf	real	0.24948875255623723	1663	70.2859	gtex	125	gpxcell
pca	real	0.32719836400818	1986	38.3679	gtex	125	gpxcell
vae	real	0.37014314928425357	2937	46.0343	gtex	125	gpxcell
dae	real	0.010224948875255624	0	31.3045	gtex	2	gpxcell
ica	real	0.0081799591002045	10	26.1536	gtex	2	gpxcell
nmf	real	0.006134969325153374	20	17.4239	gtex	2	gpxcell
pca	real	0.0081799591002045	39	26.2351	gtex	2	gpxcell
vae	real	0.012269938650306749	46	33.0596	gtex	2	gpxcell
dae	real	0.1329243353783231	121	31.6065	gtex	30	gpxcell
ica	real	0.10429447852760736	280	40.6008	gtex	30	gpxcell
nmf	real	0.05930470347648262	413	35.6615	gtex	30	gpxcell
pca	real	0.081799591002045	564	38.3691	gtex	30	gpxcell
vae	real	0.16359918200409	724	39.137	gtex	30	gpxcell
dae	real	0.17791411042944785	14	38.4428	gtex	40	gpxcell
ica	real	0.15132924335378323	302	39.6652	gtex	40	gpxcell
nmf	real	0.081799591002045	582	52.3432	gtex	40	gpxcell
pca	real	0.09815950920245399	714	38.368	gtex	40	gpxcell
vae	real	0.18404907975460122	987	45.4907	gtex	40	gpxcell
dae	real	0.3231083844580777	170	49.6252	gtex	100	gpxcell
ica	real	0.39263803680981596	539	25.9028	gtex	100	gpxcell
nmf	real	0.2249488752556237	1181	56.262	gtex	100	gpxcell
pca	real	0.278118609406953	1614	38.3679	gtex	100	gpxcell
vae	real	0.3210633946830266	2384	32.6689	gtex	100	gpxcell
dae	real	0.24335378323108384	92	39.4054	gtex	60	gpxcell
ica	real	0.2658486707566462	425	39.1853	gtex	60	gpxcell
nmf	real	0.1492842535787321	784	55.9201	gtex	60	gpxcell
pca	real	0.1574642126789366	1013	38.3679	gtex	60	gpxcell
vae	real	0.2474437627811861	1235	40.9272	gtex	60	gpxcell
dae	real	0.03885480572597137	13	32.8162	gtex	7	gpxcell
ica	real	0.03067484662576687	67	41.7998	gtex	7	gpxcell
nmf	real	0.024539877300613498	88	24.9826	gtex	7	gpxcell
pca	real	0.028629856850715747	110	26.2351	gtex	7	gpxcell
vae	real	0.06134969325153374	164	36.1692	gtex	7	gpxcell
dae	real	0.016359918200409	19	29.0584	gtex	4	gpxcell
ica	real	0.016359918200409	23	26.3388	gtex	4	gpxcell
nmf	real	0.012269938650306749	59	19.4834	gtex	4	gpxcell
pca	real	0.016359918200409	66	26.2351	gtex	4	gpxcell
vae	real	0.026584867075664622	96	25.7358	gtex	4	gpxcell
dae	real	0.022494887525562373	7	33.4981	gtex	3	gpxcell
ica	real	0.018404907975460124	25	23.3455	gtex	3	gpxcell
nmf	real	0.010224948875255624	34	16.5673	gtex	3	gpxcell
pca	real	0.012269938650306749	51	26.2351	gtex	3	gpxcell
vae	real	0.016359918200409	61	34.7243	gtex	3	gpxcell
dae	real	0.05930470347648262	48	43.1981	gtex	14	gpxcell
ica	real	0.06748466257668712	100	41.0158	gtex	14	gpxcell
nmf	real	0.034764826175869123	157	30.8425	gtex	14	gpxcell
pca	real	0.05112474437627812	245	32.1206	gtex	14	gpxcell
vae	real	0.09611451942740286	281	35.6648	gtex	14	gpxcell
dae	real	0.20245398773006135	242	47.4138	gtex	50	gpxcell
ica	real	0.20040899795501022	275	39.2162	gtex	50	gpxcell
nmf	real	0.11247443762781185	682	53.5124	gtex	50	gpxcell
pca	real	0.12883435582822086	861	38.3679	gtex	50	gpxcell
vae	real	0.21267893660531698	1122	46.7509	gtex	50	gpxcell
dae	real	0.09406952965235174	58	48.7293	gtex	18	gpxcell
ica	real	0.06339468302658487	151	39.5402	gtex	18	gpxcell
nmf	real	0.044989775051124746	240	30.3004	gtex	18	gpxcell
pca	real	0.06339468302658487	307	32.1206	gtex	18	gpxcell
vae	real	0.1165644171779141	389	45.1936	gtex	18	gpxcell
dae	real	0.04294478527607362	39	43.2145	gtex	10	gpxcell
ica	real	0.032719836400818	85	54.6594	gtex	10	gpxcell
nmf	real	0.032719836400818	119	29.1291	gtex	10	gpxcell
pca	real	0.03680981595092025	188	32.1208	gtex	10	gpxcell
vae	real	0.06952965235173825	236	41.9758	gtex	10	gpxcell
dae	real	0.13496932515337423	68	40.6871	gtex	35	gpxcell
ica	real	0.1554192229038855	190	46.8766	gtex	35	gpxcell
nmf	real	0.07157464212678936	464	36.3338	gtex	35	gpxcell
pca	real	0.09202453987730061	636	38.3681	gtex	35	gpxcell
vae	real	0.1738241308793456	799	29.8477	gtex	35	gpxcell
dae	real	0.12883435582822086	48	29.3846	gtex	25	gpxcell
ica	real	0.10224948875255624	199	37.3455	gtex	25	gpxcell
nmf	real	0.05725971370143149	364	35.499	gtex	25	gpxcell
pca	real	0.07770961145194274	486	38.375	gtex	25	gpxcell
vae	real	0.1411042944785276	555	33.4358	gtex	25	gpxcell
dae	real	0.044989775051124746	31	33.6696	gtex	8	gpxcell
ica	real	0.028629856850715747	54	50.3147	gtex	8	gpxcell
nmf	real	0.026584867075664622	96	28.3287	gtex	8	gpxcell
pca	real	0.03067484662576687	159	32.1207	gtex	8	gpxcell
vae	real	0.05930470347648262	164	31.1356	gtex	8	gpxcell
dae	real	0.4437627811860941	589	36.5765	gtex	200	gpxcell
ica	real	0.6094069529652352	1918	32.5697	gtex	200	gpxcell
nmf	real	0.3783231083844581	2410	70.0715	gtex	200	gpxcell
pca	real	0.47443762781186094	3114	38.3679	gtex	200	gpxcell
vae	real	0.45194274028629855	4754	61.0183	gtex	200	gpxcell
dae	real	0.28016359918200406	245	36.6076	gtex	80	gpxcell
ica	real	0.30879345603271985	460	36.2568	gtex	80	gpxcell
nmf	real	0.18404907975460122	980	55.8781	gtex	80	gpxcell
pca	real	0.20245398773006135	1314	38.3679	gtex	80	gpxcell
vae	real	0.2822085889570552	1699	42.4056	gtex	80	gpxcell
dae	real	0.261758691206544	56	38.8444	gtex	70	gpxcell
ica	real	0.294478527607362	542	48.7608	gtex	70	gpxcell
nmf	real	0.15950920245398773	881	55.2762	gtex	70	gpxcell
pca	real	0.18200408997955012	1164	38.3679	gtex	70	gpxcell
vae	real	0.26993865030674846	1616	40.9066	gtex	70	gpxcell
dae	real	0.028629856850715747	23	34.4133	gtex	5	gpxcell
ica	real	0.028629856850715747	35	36.7462	gtex	5	gpxcell
nmf	real	0.014314928425357873	62	24.9592	gtex	5	gpxcell
pca	real	0.02044989775051125	80	26.2351	gtex	5	gpxcell
vae	real	0.03680981595092025	112	37.6306	gtex	5	gpxcell
