metanode	abbreviation	metaedges	nodes	unconnected_nodes
Cancer-Hallmarks	H	1	50	0
Computational-Gene-Sets-CGN	C4-CGN	1	427	0
Computational-Gene-Sets-CM	C4-CM	1	431	0
Curated-Gene-Sets-CPG	C2-CPG	1	3380	0
Curated-Gene-Sets-REACTOME	C2-CP-REACTOME	1	674	0
GO-Gene-Sets-BP	C5-BP	1	4357	0
GO-Gene-Sets-CC	C5-CC	1	561	0
GO-Gene-Sets-MF	C5-MF	1	883	0
Gene	G	14	20703	1348
Immunologic-Gene-Sets	C7	1	4872	0
Motif-Gene-Sets-MIR	C3-MIR	1	221	0
Motif-Gene-Sets-TFT	C3-TFT	1	598	0
Oncogenic-Gene-Sets	C6	1	189	0
Positional-Gene-Sets	C1	1	319	0
xCell-Cell-Type	XCELL	1	489	0
